id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
711612540489892138,Rental unit in Zürich · 3 bedrooms · 3 beds · 1 bath,26718324,NIcolás,Kreis 2,Leimbach,47.32647,8.51609,Entire home/apt,140,4,0,,,1,360,0,
711946443398819819,Serviced apartment in Zürich · ★4.25 · 1 bedroom · 1 bed · 1 bath,25291258,Delta Estates,Kreis 3,Sihlfeld,47.37571,8.51558,Entire home/apt,74,5,4,2023-11-24,0.30,38,147,3,
712971189301598006,Condo in Zürich · 1 bedroom · 1 bed · 1.5 baths,99564155,Joël,Kreis 4,Langstrasse,47.38051,8.5312,Private room,100,5,1,2023-06-09,0.15,1,23,1,
714980616850803304,Condo in Zürich · ★4.93 · 2 bedrooms · 4 beds · 2 baths,19785049,Harm,Kreis 2,Wollishofen,47.33856,8.51729,Entire home/apt,199,4,30,2023-12-09,1.95,2,288,28,
715151780445256072,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,35097163,Yessi,Kreis 3,Friesenberg,47.3585709518582,8.497932851314545,Entire home/apt,161,3,2,2023-09-16,0.13,1,365,1,
715604932071806008,casa particular in Zürich · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,28917055,Niven,Kreis 9,Altstetten,47.38755,8.4894,Private room,69,3,13,2023-11-19,0.85,1,361,11,
716380258943464821,Rental unit in Zürich · ★4.09 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Hochschulen,47.3768,8.54485,Entire home/apt,99,1,33,2023-03-26,2.13,10,0,16,
716444823779312887,Rental unit in Zürich · ★4.50 · 1 bedroom · 2 beds · 1 shared bath,184862810,Saziye,Kreis 11,Affoltern,47.42205,8.49543,Private room,,1,8,2022-11-05,0.51,1,0,0,
716787524998977771,Rental unit in Zürich · ★4.37 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Rathaus,47.37547,8.54354,Entire home/apt,91,1,46,2023-05-17,2.98,10,0,28,
716792373237167973,Rental unit in Zürich · ★4.24 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Rathaus,47.37509,8.54384,Entire home/apt,64,1,49,2023-03-24,3.17,10,0,23,
716795868565487360,Rental unit in Zürich · ★4.09 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Rathaus,47.3757403,8.54447733988112,Entire home/apt,99,1,44,2023-03-26,2.83,10,0,21,
716799454625784108,Rental unit in Zürich · ★4.34 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Rathaus,47.37603,8.54414,Entire home/apt,99,1,44,2023-05-20,2.87,10,0,22,
716801931066684447,Serviced apartment in Zürich · ★4.33 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Hochschulen,47.37516,8.54563,Entire home/apt,99,1,57,2023-03-29,3.66,10,0,31,
717228508245518336,Rental unit in Zürich · 2 bedrooms · 2 beds · 1 bath,434204093,Blueground,Kreis 4,Werd,47.373729,8.521896,Entire home/apt,210,30,0,,,105,283,0,
717828191938180495,Condo in Zürich · 1 bedroom · 1 bed · 1.5 baths,10790544,Nadine,Kreis 10,Wipkingen,47.39506,8.52211,Private room,,2,0,,,3,0,0,
717952931421105203,Rental unit in Zürich · 2 bedrooms · 1 bed · 1 bath,103327798,Caroline,Kreis 8,Mühlebach,47.36413,8.55343,Entire home/apt,110,7,0,,,1,14,0,
718507288748372386,Rental unit in Zürich · ★New · 2 bedrooms · 2 beds · 1 bath,160997743,Laura,Kreis 5,Gewerbeschule,47.38427880228121,8.531280501486794,Entire home/apt,200,2,0,,,1,26,0,
718627994044543213,Rental unit in Zürich · ★4.80 · 1 bedroom · 1 bed · 1 bath,20550826,Alina,Kreis 11,Oerlikon,47.40223,8.54466,Entire home/apt,86,9,5,2023-08-25,0.35,1,17,4,
718830068578098022,Home in Zürich · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths,119640383,Rayén,Kreis 7,Hirslanden,47.36404,8.55942,Private room,,2,16,2023-03-13,1.05,6,0,7,
718873462307507242,Serviced apartment in Zürich · ★4.26 · 1 bedroom · 1 bed · 1 bath,479599044,Adem,Kreis 1,Rathaus,47.37535,8.54499,Entire home/apt,118,1,42,2023-03-27,2.72,10,0,19,
